40 59
18 39 8
18 8 2
16 39 1
29 39 2
29 10 2
10 12 2
10 4 2
10 19 2
39 12 2
39 2 2
39 5 20
39 17 8
12 21 2
12 4 2
26 8 2
26 7 2
26 2 2
21 7 2
4 7 2
4 19 2
27 34 2
27 8 2
7 5 20
7 28 2
7 8 2
7 6 2
7 33 2
7 17 8
7 1 2
19 1 2
19 25 20
19 13 2
8 33 2
8 9 2
8 34 2
34 11 1
6 28 2
6 37 2
35 1 2
35 14 2
1 37 2
1 13 2
28 20 2
28 40 20
28 32 20
37 15 2
14 15 2
14 23 130
15 31 2
15 3 2
15 30 2
24 3 130
9 22 2
22 20 2
3 30 2
3 38 2
3 13 2
30 36 20
30 38 2
